nation_name,industry_code,hscode,rnum,trgtpsnNo,trgtpsnCd,trgtpsnDtlCd,trgtpsnNm,rprsnt1Nm,biztyp1Cd,biztyp1CdNm,trgtpsn1EmpCnt,trgtpsnTelno,trgtpsn1Addr,fundDd,prod1Nm,hmpgAddr,insuUseYn,impYn,koreaCuYn,extrnlCstYn,packAbrdEntprYn,korNm,compscale,nation_name,industry_code,hscode,usdSaleAmt,trgtpsnFaxNo,evalDd,evalGrd,evalValidDd
미국,13225,630533,28,6003871775,450,287565,"Vans, Inc.",Arthur I Carver,13225,직물포대 제조업,667,1-7147554000,/1588 S Coast Dr/Costa Mesa/California/Orange/United States/92626-1533,19870630,Mfg textile bags,www.vans.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,39,6003041829,450,150960,Clear Creek Co Inc,Jason Haefner,13225,직물포대 제조업,7,1-3199846180,/501 N State St/Denver/Iowa/Bremer/United States/50622-1005,19920630,Mfg textile bags,www.clearcreek.net,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,33,6003009230,450,145616,"J Design Works, Inc.",John Williams,13225,직물포대 제조업,2,1-8478120891,/210 Ironbark Way/Bolingbrook/Illinois/Will/United States/60440-3076,20070630,Mfg textile bags,,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,36,6002988216,450,142349,J. Carrot Company Inc.,GERALD KITANO,13225,직물포대 제조업,3,1-4247579055,/386 Beech Ave Ste 7/Torrance/California/Los Angeles/United States/90501-6202,20100630,Mfg textile bags,www.carrotus.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,38,2450115467,450,115467,OGIO INTERNATIONAL INC (OGIO),David Wunderli,13225,직물포대 제조업,100,0001-8016194100,14926 S Pony Express Rd  Bluffdale Utah 840654801,19890630,"Textile bags, nsk","www.ogio.com
",N,,,N,N,미국,D,미국,13225,630533,,0001-8016194111,20130402,F,20140401
미국,13225,630533,37,6003387465,450,203641,Paktek Inc,J Alan Billingsley,13225,직물포대 제조업,23,1-2535844914,/7307 82ND Street Ct SW/Lakewood/Washington/Pierce/United States/98498-6389,19890630,Mfg textile bags,www.toolpak.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,34,6002979052,450,140721,"Pga International, Inc.",Philip R Gentile,13225,직물포대 제조업,3,1-7136615791,/11504 Craighead Dr/Houston/Texas/Harris/United States/77025-5809,19810630,Mfg textile bags,,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,31,6002980011,450,140901,Safety International Bags and Straps,Henry Sanders,13225,직물포대 제조업,13,1-4078300888,/160 Lyman Rd/Casselberry/Florida/Seminole/United States/32707-2801,19890630,Mfg textile bags,,N,Y,N,N,N,미국,D,미국,13225,630533,762421.0,,,,
미국,13225,630533,32,6003283174,450,186764,"Stahlsac, Inc.",John Stahl,13225,직물포대 제조업,47,1-8286453005,/81 Monticello Rd/Weaverville/North Carolina/Buncombe/United States/28787-9441,19780630,Mfg textile bags,www.stahlsac.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,35,6002994188,450,143349,"Travelpro Products, Inc.",Blake Lipham,13225,직물포대 제조업,100,1-5619982824,/700 Banyan Trl/Boca Raton/Florida/Palm Beach/United States/33431-5609,20160630,Mfg textile bags,www.travelpro.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,40,6003019552,450,147345,Vilah Bloom LLC,Jackelynn Garrett,13225,직물포대 제조업,2,1-2317532999,/625 Connable Ave/Petoskey/Michigan/Emmet/United States/49770-2215,20110630,Mfg textile bags,www.vilahbloom.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,47,6003436537,450,211921,"Cekal Specialties, Inc.",Dallas Crotts,13225,직물포대 제조업,20,1-7048226206,/101 Brickyard Rd/Mount Holly/North Carolina/Gaston/United States/28120-8800,19920630,Mfg textile bags,www.cekalspecialties.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,45,6003450239,450,214053,Estex Manufacturing Co Inc,Brent C Wilkes,13225,직물포대 제조업,100,1-7709643322,/402 SE Broad St/Fairburn/Georgia/Fulton/United States/30213-1561,19000630,Mfg textile bags,www.estexmfg.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,48,6003746366,450,265802,"Hubco, Inc.",Trey McPherson,13225,직물포대 제조업,47,1-6206638301,/215 S Poplar St/Hutchinson/Kansas/Reno/United States/67501-7456,19190630,Mfg textile bags,www.hubcoinc.com,N,Y,N,N,N,미국,D,미국,13225,630533,7342160.0,,,,
미국,13225,630533,41,6003784341,450,272553,Pacific Capro Industries,Jules J Teffaha,13225,직물포대 제조업,7,1-3108089500,/3128 E Harcourt St/Compton/California/Los Angeles/United States/90221-5506,19970630,Mfg textile bags,www.capro.net,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,44,6004146960,450,333237,Pak 21 Inc.,GOLDY LOEWY,13225,직물포대 제조업,2,1-7188377202,/2001 57TH St Ste 2/Brooklyn/New York/Kings/United States/11204-2035,20050630,Mfg textile bags,www.pak21.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,49,6003932611,450,298004,"Pelican Reef, Inc.",Angel Calzadilla,13225,직물포대 제조업,20,1-3055582100,/4900 NW 167TH St/Miami Lakes/Florida/Miami-Dade/United States/33014-6326,19840630,Mfg textile bags,www.pelicanreef.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,42,6003781012,450,271934,"Rickshaw Bagworks, Inc.",Mark Dwight,13225,직물포대 제조업,18,1-4159048368,/904 22ND St/San Francisco/California/San Francisco/United States/94107-3427,20070630,Mfg textile bags,www.rickshawbags.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
